Row.names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	external_gene_name
1	ENSG00000000003	9.14581656638454	-1.81390086780656	0.63778888826366	-2.8440458922776	0.00445446315124068	0.0392000794229615	TSPAN6
2	ENSG00000000419	374.425299998003	0.580260818305551	0.279424123231435	2.07663107821563	0.0378356222267468	0.16010562578264	DPM1
3	ENSG00000000457	770.532597710748	-0.0726711926546642	0.200323222371512	-0.36276968688079	0.716776937869306	0.86265412803134	SCYL3
4	ENSG00000000460	168.283164026995	0.635914921244679	0.269198851039653	2.3622497599405	0.018164399967603	0.100364611545719	C1orf112
5	ENSG00000000938	23847.5106771986	-0.268865037111314	0.306976522575573	-0.875848859240118	0.381112204448045	0.629663337574959	FGR
6	ENSG00000000971	62.9819708184123	0.426179116457793	0.556315557575335	0.76607441703638	0.443632024224693	0.683130291446232	CFH
7	ENSG00000001036	755.253633615624	0.0676790372668328	0.219988210007458	0.307648474727524	0.758349830413611	0.886483234953238	FUCA2
8	ENSG00000001084	684.88455268939	0.907673743893077	0.212633544316616	4.26872320080189	1.96595045400329e-05	0.000715080972249728	GCLC
9	ENSG00000001167	1195.71762958004	-0.213899524303093	0.141645976731551	-1.51009953998537	0.131018026876532	0.340959293328935	NFYA
10	ENSG00000001460	103.384857951341	0.129240363627146	0.27709590633633	0.466410223578974	0.640921894955738	0.818035043360169	STPG1
11	ENSG00000001461	1230.29664185245	0.158747386744807	0.255093726339078	0.622310038835669	0.533738021405361	0.750403632261807	NIPAL3
12	ENSG00000001497	688.872946661587	-0.771774164165315	0.185729326040531	-4.15537050943098	3.24760834576758e-05	0.00107209541160619	LAS1L
13	ENSG00000001561	384.736253510144	0.828760397204526	0.340805451727983	2.43176977657625	0.0150252543133083	0.0894545961710846	ENPP4
14	ENSG00000001629	874.686345093682	0.325953337332195	0.273646778828691	1.19114626061887	0.233596171858811	0.4819650288669	ANKIB1
15	ENSG00000001630	10.2810173214183	1.52347390895441	0.595822415046529	2.55692614188649	0.0105601636538969	0.0708733377666077	CYP51A1
16	ENSG00000001631	596.618587576045	0.109913385575849	0.258882244174402	0.424569038816751	0.671150867198124	0.836313049692495	KRIT1
17	ENSG00000002016	237.391982958174	0.0938984435813778	0.253127656787904	0.370952920644524	0.710672597691741	0.858747781090286	RAD52
18	ENSG00000002330	540.94912259639	0.549556646033717	0.246279584338453	2.23143403262562	0.0256523926407136	0.124695696698594	BAD
19	ENSG00000002549	4462.9171018271	0.334404534243121	0.569989035812476	0.58668590662705	0.557414674750127	0.765964241750598	LAP3
20	ENSG00000002587	30.4315928250932	-0.12777044467133	0.584142983431027	-0.218731454961346	0.826859244722809	0.92239209191768	HS3ST1
21	ENSG00000002726	75.8779276654836	0.037633991639698	1.66727796065388	0.0225721160645215	0.981991586316185	0.992796016024098	AOC1
22	ENSG00000002745	11.7146843235386	0.0572893662755357	0.601543086871755	0.0952373446322217	0.924126308054415	0.96788191271965	WNT16
23	ENSG00000002822	1352.27016562649	0.145931287755885	0.242040626953957	0.602920631930296	0.546561489899331	0.758476041534672	MAD1L1
24	ENSG00000002834	17560.543822666	-0.619096926616042	0.313320465056449	-1.97592240425311	0.0481635662816901	0.185779196946575	LASP1
25	ENSG00000002919	1882.76479705141	-0.448726217307063	0.294182395581043	-1.52533334437222	0.127175974937989	0.335524920546459	SNX11
26	ENSG00000002933	958.069180219451	0.145601322502286	1.11120904150818	0.131029641645707	0.895751858904909	0.956652001709808	TMEM176A
27	ENSG00000003056	4648.01990238359	0.349640401631421	0.154050075986742	2.2696541977786	0.0232285724561362	0.117528383978013	M6PR
